0	22.7989
1	18.7465
2	15.0063
3	11.6157
4	8.60868
5	6.01521
6	3.86123
7	2.16825
8	0.953188
9	0.228187
10	0.000489672
11	0.272371
12	1.04111
13	2.29904
14	4.03357
15	6.22739
16	8.85857
17	11.9008
18	15.3237
19	19.0931
20	23.1714
21	27.5176
22	32.0885
23	36.8384
24	41.7198
25	46.6839
26	51.6812
27	56.6616
28	61.5755
29	66.3737
30	71.0084
31	75.4331
32	79.6037
33	83.4785
34	87.0188
35	90.1892
36	92.9581
37	95.2977
38	97.1848
39	98.6004
40	99.5304
41	99.9655
42	99.9013
43	99.3386
44	98.2829
45	96.7448
46	94.7396
47	92.2873
48	89.4126
49	86.1441
50	82.5144
51	78.5598
52	74.3199
53	69.837
54	65.1559
55	60.3234
56	55.3877
57	50.3982
58	45.4047
59	40.4571
60	35.6048
61	30.8964
62	26.3789
63	22.0974
64	18.0947
65	14.4107
66	11.0824
67	8.14291
68	5.62165
69	3.5438
70	1.93013
71	0.79675
72	0.154997
73	0.0112784
74	0.367031
75	1.2187
76	2.55778
77	4.37088
78	6.63989
79	9.34214
80	12.4506
81	15.9343
82	19.7584
83	23.8846
84	28.2717
85	32.876
86	37.6513
87	42.55
88	47.5232
89	52.5211
90	57.4939
91	62.3917
92	67.1657
93	71.7683
94	76.1533
95	80.277
96	84.0982
97	87.5787
98	90.6837
99	93.3822
100	95.6473
